,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
0,Vie,2022-08-05,20:30 ,Eint Frankfurt,4.0,1–6,Bayern Munich,"51,500",Deutsche Bank Park,Deniz Aytekin,Informe del partido
1,Sáb,2022-08-06,15:30 ,Wolfsburg,0.8,2–2,Werder Bremen,"28,015",Volkswagen Arena,Sascha Stegemann,Informe del partido
2,Sáb,2022-08-06,15:30 ,Augsburg,1.3,0–4,Freiburg,"25,310",WWK Arena,Bastian Dankert,Informe del partido
3,Sáb,2022-08-06,15:30 ,Union Berlin,0.3,3–1,Hertha BSC,"22,012",Stadion An der Alten Försterei,Marco Fritz,Informe del partido
4,Sáb,2022-08-06,15:30 ,M'Gladbach,0.1,3–1,Hoffenheim,"49,659",Stadion im Borussia-Park,Daniel Siebert,Informe del partido
5,Sáb,2022-08-06,15:30 ,Bochum,1.4,1–2,Mainz 05,"24,110",Vonovia Ruhrstadion,Felix Zwayer,Informe del partido
6,Sáb,2022-08-06,18:30 ,Dortmund,1.3,1–0,Leverkusen,"81,365",Signal Iduna Park,Felix Brych,Informe del partido
7,Dom,2022-08-07,15:30 ,Stuttgart,1.6,1–1,RB Leipzig,"46,000",Mercedes-Benz Arena,Tobias Stieler,Informe del partido
8,Dom,2022-08-07,17:30 ,Köln,0.2,3–1,Schalke 04,"50,000",RheinEnergieSTADION,Robert Schröder,Informe del partido
9,,,,,,,,,,,
10,Vie,2022-08-12,20:30 ,Freiburg,1.1,1–3,Dortmund,"34,700",Europa-Park Stadion,Tobias Welz,Informe del partido
11,Sáb,2022-08-13,15:30 ,Hoffenheim,1.5,3–2,Bochum,"17,005",PreZero Arena,Patrick Ittrich,Informe del partido
12,Sáb,2022-08-13,15:30 ,Werder Bremen,1.4,2–2,Stuttgart,"41,000",Wohninvest-Weserstadion,Robert Hartmann,Informe del partido
13,Sáb,2022-08-13,15:30 ,Leverkusen,0.4,1–2,Augsburg,"22,903",BayArena,Benjamin Cortus,Informe del partido
14,Sáb,2022-08-13,15:30 ,RB Leipzig,1.5,2–2,Köln,"49,579",Red Bull Arena,Benjamin Brand,Informe del partido
15,Sáb,2022-08-13,15:30 ,Hertha BSC,1.6,1–1,Eint Frankfurt,"45,000",Olympiastadion Berlin,Frank Willenborg,Informe del partido
16,Sáb,2022-08-13,18:30 ,Schalke 04,1.3,2–2,M'Gladbach,"62,271",Veltins-Arena,Sven Jablonski,Informe del partido
17,Dom,2022-08-14,15:30 ,Mainz 05,0.4,0–0,Union Berlin,"25,009",Mewa Arena,Daniel Schlager,Informe del partido
18,Dom,2022-08-14,17:30 ,Bayern Munich,0.5,2–0,Wolfsburg,"75,000",Allianz Arena,Harm Osmers,Informe del partido
19,,,,,,,,,,,
20,Vie,2022-08-19,20:30 ,M'Gladbach,1.0,1–0,Hertha BSC,"48,411",Stadion im Borussia-Park,Matthias Jöllenbeck,Informe del partido
21,Sáb,2022-08-20,15:30 ,Leverkusen,1.5,0–3,Hoffenheim,"26,300",BayArena,Tobias Reichel,Informe del partido
22,Sáb,2022-08-20,15:30 ,Augsburg,2.1,1–2,Mainz 05,"23,755",WWK Arena,Sascha Stegemann,Informe del partido
23,Sáb,2022-08-20,15:30 ,Stuttgart,0.6,0–1,Freiburg,"47,500",Mercedes-Benz Arena,Felix Brych,Informe del partido
24,Sáb,2022-08-20,15:30 ,Dortmund,1.3,2–3,Werder Bremen,"81,365",Signal Iduna Park,Florian Badstübner,Informe del partido
25,Sáb,2022-08-20,15:30 ,Wolfsburg,1.1,0–0,Schalke 04,"26,959",Volkswagen Arena,Felix Zwayer,Informe del partido
26,Sáb,2022-08-20,18:30 ,Union Berlin,0.9,2–1,RB Leipzig,"21,056",Stadion An der Alten Försterei,Deniz Aytekin,Informe del partido
27,Dom,2022-08-21,15:30 ,Eint Frankfurt,0.3,1–1,Köln,"50,800",Deutsche Bank Park,Martin Petersen,Informe del partido
